ID,ID
No,No
Yes,Yes
Username,用户名
"Encryption Key","Encryption Key"
"Change Encryption Key",更改加密密钥
"New Encryption Key",新建加密密钥
"The encryption key is used to protect passwords and other sensitive data.",加密密钥是用来保护密码和其他敏感数据的
"Auto-generate a Key",自动生成密钥
"The generated key will be displayed after changing.",生成的密钥会在改动后显示。
"New Key",新密钥
"To enable a key change this file must be writable: %1.",使密钥更改这个文件必须是可写的: %1.
"Please enter an encryption key.",请输入加密密钥。
"The encryption key has been changed.",加密密钥已更改。
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!",这是你的新的加密密钥: <span style=""font-family:monospace;"">%1</span>. 请确保记录下它并好好保存它。
"Not supported cipher version","Not supported cipher version"
"The encryption key format is invalid.",加密密钥格式无效.
"File %1 is not writeable.",文件 %1 不可写
"Encryption Key Change",加密密钥已更改
Manage Encryption Key,管理密钥
