None,无
Price,价格
No,否
Enabled,启用
Sort Order,排序
Title,标题
Type,类型
Export,导出
Import,导入
Country,国家
Zip/Postal Code,邮编
Condition,条件
Region/State,地区/国家
Shipping Price,运费
Export CSV,导出 CSV
Store Pickup,上门取货
Weight vs. Destination,重量 vs. 目的地
Price vs. Destination,价格 vs. 目的地
# of Items vs. Destination,# of Items vs. Destination
Weight (and above),重量 （及以上）
Order Subtotal (and above),订单小计 (及以上)
# of Items (and above),# 产品 (及以上)
Please correct Table Rate code type: %1.,请更正运费表代码类型: %1.
Please correct Table Rate code for type %1: %2.,请更正类型 %1 的运费表代码
Per Order,每个订单
Per Item,每个产品
Free Shipping,免邮
For matching items only,仅用于匹配产品
For shipment with matching items,为匹配产品运输
Please correct Table Rates File Format.,请更正运费表代码文件格式
Something went wrong while importing table rates.,导入运费表时出错
We couldn't import this file because of these errors: %1,因为这些错误: %1，我们不能导入文件
Please correct Table Rates format in the Row #%1.,请在行 #%1更正运费表格式
"Please correct Country ""%1"" in the Row #%2.","请在行 #%2 更正国家""%1"""
"Please correct Region/State ""%1"" in the Row #%2.","请在行 #%2 更正地区/国家""%1"""
"Please correct %1 ""%2"" in the Row #%3.","请在行 #%3 更正 %1 ""%2"" "
"Please correct Shipping Price ""%1"" in the Row #%2.","请在行 #%2 更正运费 ""%1"" "
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","复制行 #%1 (国家 ""%2"", 地区/国家 ""%3"", 邮编 ""%4"" 和值 ""%5"")"
Calculate Handling Fee,计算手续费
Handling Fee,手续费
Displayed Error Message,显示错误信息
Ship to Applicable Countries,发货到适用国家
Ship to Specific Countries,发货到指定国家
Show Method if Not Applicable,显示不可用的方式
Flat Rate,统一费率
Method Name,方式名称
Table Rates,运费表
Include Virtual Products in Price Calculation,包括虚拟产品的价格计算
Minimum Order Amount,最低订单金额
