None,无
Cancel,取消
Back,返回
Subtotal,小计
Excl. Tax,不含税
Total,总数
Incl. Tax,含税
Reset,重置状态
Unit Price,单价
Tax,传真
Save,保存
Name,姓名
Code,代码
Sort Order,排序顺序
Save and Continue Edit,保存并继续编辑
Are you sure you want to do this?,您是否确认要这样做？
New Rule,新规则
Priority,优先级
Edit Rule,修改规则
Country,国家
Billing Address,账单地址
Shipping Address,送货地址
Sales,销售
CSV,CSV
Excel XML,Excel XML
Rate,费率
Shipping Incl. Tax (%1),含税运费 (%1)
Shipping Excl. Tax (%1),不含税运费 (%1)
Grand Total Excl. Tax,合计不含税
Grand Total Incl. Tax,合计含税
Subtotal (Excl. Tax),小计（不含税）
Subtotal (Incl. Tax),小计（含税）
Row Total,总行数
Tax Rate Information,税率信息
Tax Identifier,税务识别符
Zip/Post is Range,邮编范围
Zip/Post Code,邮政编码
'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.,*' - 匹配任何; 'xyz*' - 匹配任何 'xyz'开始 和不超过 %1.
Range From,范围从
Range To,范围到
State,州
Rate Percent,税率百分率
Tax Titles,税务标题
Add New Tax Rate,添加新税率
Delete Rate,删除费率
Save Rate,保存税率
Manage Tax Rules,管理税务规则
Add New Tax Rule,添加新税率规则
Save Rule,保存规则
Delete Rule,删除规则
Tax Rule Information,税务规则信息
Customer Tax Class,客户税务类型
Product Tax Class,产品税务类型
Tax Rate,税率
"Tax rates at the same priority are added, others are compounded.",同一优先级的税率已被添加，其它的是集合的。
Calculate Off Subtotal Only,只计算小计
Do you really want to delete this tax class?,您确定要删除此税种吗？
Add New Tax Class,添加新税种
Subtotal (Excl.Tax),小计（不含税）
Subtotal (Incl.Tax),小计（含税）
Shipping & Handling (Excl.Tax),运费和手续费（不含税）
Shipping & Handling (Incl.Tax),运费和手续费（含税）
Grand Total (Excl.Tax),合计（不含税）
Grand Total (Incl.Tax),合计（含税）
Tax Zones and Rates,税收区域和税率
Manage Tax Rates,管理税率
New Tax Rate,新税率
The tax rate has been saved.,该税率已保存。
Something went wrong saving this rate.,您确定要保存此税率吗？
Edit Tax Rate,编辑税率
The tax rate has been deleted.,该税率已被删除。
Something went wrong deleting this rate.,删除该税率时出错
Something went wrong deleting this rate because of an incorrect rate ID.,因为一个错误的税率ID，删除该税率是出错
An error occurred while deleting this tax rate.,删除该税率时出错
Import and Export Tax Rates,进出口税税率
The tax rate has been imported.,该税率已被导入。
Invalid file upload attempt,文件无效的上传企图
Tax Rules,税务规则
New Tax Rule,新税务规则
The tax rule has been saved.,该税务规则已保存。
Something went wrong saving this tax rule.,保存税务规则时出错
This rule no longer exists.,该规则不存在。
The tax rule has been deleted.,该税务规则已被删除。
Something went wrong deleting this tax rule.,删除税务规则时出错
Something went wrong saving this tax class.,保存该税类型时出错
Something went wrong deleting this tax class.,删除该税类型时出错
Please fill all required fields with valid information.,请以有效的信息填写所有必需的资料，
Rate Percent should be a positive number.,税百分比应该是哟个正数
Maximum zip code length is 9.,最大邮编长度为 9.
Zip code should not contain characters other than digits.,邮编不应该包含数字以外的字符
Range To should be equal or greater than Range From.,目标范围应该大于或者等于起始范围
This class no longer exists.,该类不存在
You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.,您不能删除该税种因为它在税则中已使用. 您要先删除该税则
You cannot delete this tax class because it is used in existing %1(s).,您不能删除该税种，因为他在已在的 %1中使用。
Custom price if available,可用时的自定义价格
Original price only,仅原价
Shipping Origin,发货地
No (price without tax),否 (不含税价格)
Yes (only price with tax),是 (含税价格)
Both (without and with tax),两个都 (含税和不含税)
Grand Total (Excl. Tax),合计（不含税）
Grand Total (Incl. Tax),合计（含税）
Shipping (Excl. Tax),运费（不含税）
Shipping (Incl. Tax),运费（含税）
Before Discount,折前
After Discount,折扣后
Excluding Tax,不含税
Including Tax,含税
Including and Excluding Tax,包含和不包含税
Warning tax configuration can result in rounding errors. ,警告税务配置可能会导致错误。
Store(s) affected: ,受影响的店铺: 
"Click on the link to <a href=""%1"">ignore this notification</a>","点击链接<a href=""%1"">忽略通知</a>"
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ",警告税务折扣配置可能会导致出现与客户预期不同的折扣。
"Please see <a href=""%1"">documentation</a> for more details. ","请查看<a href=""%1"">文件</a>获取更多信息 "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","点击这里跳转到<a href=""%1"">税金配置</a>更改您的设置."
customer group,客户组
product,产品
Import Tax Rates,导入税率
Export Tax Rates,导出税率
Note:,注意:
Leave this field empty if you wish to use the tax identifier.,如果你想使用税务标识符，就把这个字段留为空。
Do you really want to delete this tax rate?,您确定删除这个税率吗？
Add New Class,添加新类
Default Country,默认国家
Tax Calculation Based On,税收计算基于
Tax Classes,税种
Tax Class for Shipping,运费税率
Default Tax Class for Product,产品默认税种
Default Tax Class for Customer,客户默认税种
Calculation Settings,计算设置
Tax Calculation Method Based On,税收计算方法基于
Catalog Prices,目录价格
This sets whether catalog prices entered by admin include tax.,这个设置是否由管理员输入目录价格包括税款。
Shipping Prices,运费
This sets whether shipping amounts entered by admin or obtained from gateways include tax.,套由管理员输入或从网关获得航运量是否包括税款。
